context_id,length,total_samples,eligible_sequences,terminated_before_length,canonical_sequences,noncanonical_sequences,canonical_percentage,canonical_ci95_low,canonical_ci95_high
document-042,1024,16,13,3,0,13,0.0,0.0,22.80953723541984
document-042,2048,16,9,7,0,9,0.0,0.0,29.914504841954408
document-043,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-043,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-043,128,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-043,256,16,15,1,10,5,66.66666666666667,41.71354773851977,84.82367556028527
document-043,512,16,12,4,4,8,33.333333333333336,13.812009109121314,60.93779111272004
document-043,1024,16,11,5,0,11,0.0,0.0,25.88329669680317
document-043,2048,16,8,8,0,8,0.0,0.0,32.440756488388026
document-044,32,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-044,64,16,16,0,12,4,75.0,50.50168346449122,89.81793250878695
document-044,128,16,16,0,9,7,56.25,33.1785563988119,76.90134759450766
document-044,256,16,16,0,4,12,25.0,10.182067491213049,49.49831653550877
document-044,512,16,10,6,1,9,10.0,1.7876213095072897,40.41500267952385
document-044,1024,16,8,8,0,8,0.0,0.0,32.440756488388026
document-044,2048,16,5,11,0,5,0.0,0.0,43.44824647831748
document-045,32,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-045,64,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-045,128,16,16,0,11,5,68.75,44.40435583474066,85.83535614521796
document-045,256,16,16,0,6,10,37.5,18.481232558863635,61.358959454497274
document-045,512,16,15,1,0,15,0.0,0.0,20.388330103584863
document-045,1024,16,14,2,0,14,0.0,1.3877787807814457e-15,21.531080273763582
document-045,2048,16,12,4,0,12,0.0,2.7755575615628914e-15,24.249400665524085
document-046,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-046,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-046,128,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-046,256,16,16,0,12,4,75.0,50.50168346449122,89.81793250878695
document-046,512,16,16,0,9,7,56.25,33.1785563988119,76.90134759450766
document-046,1024,16,14,2,3,11,21.428571428571427,7.571386712693185,47.589230586600294
document-046,2048,16,8,8,0,8,0.0,0.0,32.440756488388026
document-047,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-047,64,16,16,0,12,4,75.0,50.50168346449122,89.81793250878695
document-047,128,16,16,0,9,7,56.25,33.1785563988119,76.90134759450766
document-047,256,16,16,0,8,8,50.0,27.999563610326017,72.00043638967398
document-047,512,16,14,2,3,11,21.428571428571427,7.571386712693185,47.589230586600294
document-047,1024,16,13,3,0,13,0.0,0.0,22.80953723541984
document-047,2048,16,11,5,0,11,0.0,0.0,25.88329669680317
document-048,32,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-048,64,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-048,128,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-048,256,16,16,0,9,7,56.25,33.1785563988119,76.90134759450766
document-048,512,16,15,1,2,13,13.333333333333334,3.736125910306537,37.881982832322365
document-048,1024,16,14,2,0,14,0.0,1.3877787807814457e-15,21.531080273763582
document-048,2048,16,11,5,0,11,0.0,0.0,25.88329669680317
document-049,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-049,64,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-049,128,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-049,256,16,16,0,12,4,75.0,50.50168346449122,89.81793250878695
document-049,512,16,15,1,8,7,53.333333333333336,30.116980025498396,75.19046463426261
document-049,1024,16,12,4,1,11,8.333333333333334,1.4865094404917096,35.38799111411169
document-049,2048,16,10,6,0,10,0.0,0.0,27.75327998628892
document-050,32,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-050,64,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-050,128,16,16,0,11,5,68.75,44.40435583474066,85.83535614521796
document-050,256,16,15,1,5,10,33.333333333333336,15.176324439714731,58.28645226148023
document-050,512,16,13,3,1,12,7.6923076923076925,1.3710421242556587,33.31395092109959
document-050,1024,16,13,3,0,13,0.0,0.0,22.80953723541984
document-050,2048,16,11,5,0,11,0.0,0.0,25.88329669680317
document-051,32,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-051,64,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-051,128,16,16,0,11,5,68.75,44.40435583474066,85.83535614521796
document-051,256,16,14,2,8,6,57.142857142857146,32.59064457965074,78.61920109552588
document-051,512,16,13,3,4,9,30.76923076923077,12.680703655710515,57.63065681945096
document-051,1024,16,10,6,0,10,0.0,0.0,27.75327998628892
document-051,2048,16,8,8,0,8,0.0,0.0,32.440756488388026
document-052,32,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-052,64,16,16,0,11,5,68.75,44.40435583474066,85.83535614521796
document-052,128,16,16,0,7,9,43.75,23.098652405492352,66.82144360118811
document-052,256,16,15,1,5,10,33.333333333333336,15.176324439714731,58.28645226148023
document-052,512,16,15,1,2,13,13.333333333333334,3.736125910306537,37.881982832322365
document-052,1024,16,15,1,0,15,0.0,0.0,20.388330103584863
document-052,2048,16,12,4,0,12,0.0,2.7755575615628914e-15,24.249400665524085
document-053,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-053,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-053,128,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-053,256,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-053,512,16,15,1,7,8,46.666666666666664,24.809535365737386,69.88301997450161
